"RelativePath"                                                                , "Width", "Height", "Format"
"particles\cloud_strip_01.dds"                                                , "256"  , "512"   , "dds"
"particles\cloud_white_alpha_01.dds"                                          , "256"  , "256"   , "dds"
"particles\corona_02.dds"                                                     , "256"  , "256"   , "dds"
"particles\corona_03.dds"                                                     , "256"  , "256"   , "dds"
"particles\corona.dds"                                                        , "256"  , "256"   , "dds"
"particles\crystal_debris01.dds"                                              , "256"  , "256"   , "dds"
"particles\curvetrail_beam_particle_01.dds"                                   , "64"   , "64"    , "dds"
"particles\dark_purple_01.dds"                                                , "256"  , "4"     , "dds"
"particles\debris_alpha_01.dds"                                               , "256"  , "256"   , "dds"
"particles\debris_alpha_02.dds"                                               , "32"   , "512"   , "dds"
"particles\debris_alpha_03.dds"                                               , "256"  , "256"   , "dds"
"particles\debris_alpha_04.dds"                                               , "256"  , "256"   , "dds"
"particles\debris_scorch_alpha_01.dds"                                        , "256"  , "256"   , "dds"
"particles\debris_scorch_alpha_02.dds"                                        , "256"  , "256"   , "dds"
"particles\dirt_chunks_02.dds"                                                , "128"  , "128"   , "dds"
"particles\dirt_chunks_03.dds"                                                , "64"   , "64"    , "dds"
"particles\dirt_chunks_04.dds"                                                , "128"  , "128"   , "dds"
"particles\dirt_chunks_05.dds"                                                , "64"   , "64"    , "dds"
"particles\dirt_chunks_06.dds"                                                , "128"  , "128"   , "dds"
"particles\dirt_chunks.dds"                                                   , "128"  , "128"   , "dds"
"particles\dirt_debris01.dds"                                                 , "256"  , "256"   , "dds"
"particles\dirt_spray_01.dds"                                                 , "256"  , "256"   , "dds"
"particles\dirt_spray_02.dds"                                                 , "256"  , "256"   , "dds"
"particles\dirt_spray_03.dds"                                                 , "256"  , "256"   , "dds"
"particles\disk_white_01.dds"                                                 , "256"  , "256"   , "dds"
"particles\disk_white_02.dds"                                                 , "256"  , "256"   , "dds"
"particles\disk_white_03.dds"                                                 , "256"  , "256"   , "dds"
"particles\distort_ring_02.dds"                                               , "256"  , "256"   , "dds"
"particles\distorted_ring.dds"                                                , "256"  , "256"   , "dds"
"particles\dust_cloud_01.dds"                                                 , "128"  , "128"   , "dds"
"particles\dust_cloud_02.dds"                                                 , "128"  , "128"   , "dds"
"particles\dust_cloud_03.dds"                                                 , "128"  , "128"   , "dds"
"particles\dust_cloud_04.dds"                                                 , "64"   , "64"    , "dds"
"particles\dust_cloud_05.dds"                                                 , "128"  , "128"   , "dds"
"particles\electric_split_01.dds"                                             , "128"  , "128"   , "dds"
"particles\electricity_01.dds"                                                , "64"   , "512"   , "dds"
"particles\electricity_02.dds"                                                , "128"  , "256"   , "dds"
"particles\electricity_03.dds"                                                , "128"  , "128"   , "dds"
"particles\electricity_04.dds"                                                , "128"  , "128"   , "dds"
"particles\electricity_05.dds"                                                , "128"  , "128"   , "dds"
"particles\electricity_06.dds"                                                , "256"  , "256"   , "dds"
"particles\electricity_07.dds"                                                , "64"   , "64"    , "dds"
"particles\electricity_08.dds"                                                , "256"  , "1024"  , "dds"
"particles\electricity_09.dds"                                                , "256"  , "512"   , "dds"
"particles\electricity_beam_01.dds"                                           , "128"  , "512"   , "dds"
"particles\electricity_beam_02.dds"                                           , "256"  , "512"   , "dds"
"particles\electricity_beam_03.dds"                                           , "256"  , "512"   , "dds"
"particles\electricity_beam_04.dds"                                           , "256"  , "512"   , "dds"
"particles\electricity_bolts_add_01.dds"                                      , "128"  , "512"   , "dds"
"particles\electricity_bolts_add_02.dds"                                      , "128"  , "512"   , "dds"
"particles\electricity_ring_02.dds"                                           , "256"  , "256"   , "dds"
